Width,Height,Quantity,Num Lites,Window Type,Wood,Glass,Installation
42,54,1,0,DH,DF,DP,600
30,54,2,0,DH,DF,DP,600
26,54,2,0,DH,DF,DP,600
30,54,2,0,DH,DF,DP,600
30,36,1,0,DH,DF,DP,600
14,18,1,0,CA,DF,DP,250
48,42,1,0,DC,DF,DP,750
24,42,1,0,DH,DF,DP,600
30,48,2,0,DH,DF,DP,600
30,48,2,0,DH,DF,DP,600
24,36,1,0,DH,DF,DP,600
