Width,Height,Quantity,Num Lites,Window Type,Wood,Glass,Installation
22,56,1,0,CA,DF,DP,450
22,56,1,0,FIXED,DF,DP,300
22,27,1,0,FIXED,DF,DP,300
22,50,1,0,CA,DF,DP,450
22,50,2,0,SH,DF,DP,550
26,50,1,0,SH,DF,DP,550
15,50,1,0,CA,DF,DP,350
15,50,1,0,FIXED,DF,DP,300
21,50,3,0,SH,DF,DP,550
46,50,1,0,FIXED,DF,DP,300
24,50,1,0,FIXED,DF,DP,300
21,50,2,0,SH,DF,DP,550
26,50,1,0,SH,DF,DP,550
21,44,1,0,SH,DF,DP,550
