Description,Qty,Area of Glass, Glass Cost, Sash Perimeter, Wood Cost,Installation Cost,Sash + Installation, Unit Tax, Total Tax, Total Cost - Tax
14x49 Casement Window,2,3.19 SqFt, $79,12ft, $336, $360, $780, $28.98, $57.96, $1560
74x49 Casement Window,1,22.36 SqFt, $805,22ft, $616, $450, $1880, $53.13, $53.13, $1880
74x49 Casement Window,1,22.36 SqFt, $805,22ft, $616, $450, $1880, $53.13, $53.13, $1880
 , , , , , , , , Total:, $164.22, $738202824
 , , , , , , , , Total:, $5484.22
